"Timestamp","How would you rate your knowledge about climate change?","How serious do you think climate change is compared to other global issues (e.g., pandemics, poverty, war)?","How much do you agree with the following statement: “Climate change is a major threat to our generation”?","How willing are you to change your lifestyle to help reduce climate change (e.g., using public transport instead of driving, reducing meat consumption)?","How much would you support each of the following actions? Please answer from 1 to 5 for each (where 1 is “I do not support this at all” and 5 is “I support this very much”). 
Reducing the speed limit in Waterford","How much would you support each of the following actions? Please answer from 1 to 5 for each (where 1 is “I do not support this at all” and 5 is “I support this very much”). 
Giving people help to replace open fires in homes with electric heating or heat
pumps","How much would you support each of the following actions? Please answer from 1 to 5 for each (where 1 is “I do not support this at all” and 5 is “I support this very much”). 
Creating new walking and cycling routes in the city away from cars","How much would you support each of the following actions? Please answer from 1 to 5 for each (where 1 is “I do not support this at all” and 5 is “I support this very much”). 

Restricting where most cars can go","How often do you think about the impact of your daily activities on the environment?"
"2024/09/25 9:00:04 pm CET","4","More serious","4","Somewhat willing","Creating new walking and cycling routes in the city away from cars","","","","3"
"2024/09/25 9:00:10 pm CET","4","More serious","5","Very willing","Creating new walking and cycling routes in the city away from cars","","","","5"
"2024/09/25 9:00:20 pm CET","3","As serious","4","Somewhat willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","2"
"2024/09/25 9:00:21 pm CET","4","Less serious","2","Not willing at all","Creating new walking and cycling routes in the city away from cars","","","","1"
"2024/09/25 9:00:21 pm CET","3","As serious","5","Somewhat willing","Restricting where most cars can go","","","","3"
"2024/09/25 9:01:00 pm CET","4","Don't know","3","Somewhat willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","2"
"2024/09/25 9:01:06 pm CET","3","As serious","4","A little willing","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/25 9:01:49 pm CET","2","As serious","4","A little willing","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/25 9:02:04 pm CET","3","More serious","5","Very willing","Creating new walking and cycling routes in the city away from cars","","","","3"
"2024/09/25 9:02:32 pm CET","2","Much less serious","1","Not willing at all","Creating new walking and cycling routes in the city away from cars","","","","1"
"2024/09/25 9:02:55 pm CET","2","More serious","4","Somewhat willing","Creating new walking and cycling routes in the city away from cars","","","","1"
"2024/09/25 9:02:56 pm CET","4","More serious","4","A little willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","2"
"2024/09/25 9:07:22 pm CET","4","Much more serious","5","Somewhat willing","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/25 9:08:07 pm CET","4","As serious","4","Somewhat willing","Creating new walking and cycling routes in the city away from cars","","","","3"
"2024/09/25 9:08:30 pm CET","3","More serious","4","Somewhat willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","2"
"2024/09/25 9:09:49 pm CET","4","More serious","3","A little willing","Creating new walking and cycling routes in the city away from cars","","","","1"
"2024/09/25 9:11:35 pm CET","3","As serious","3","A little willing","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/25 9:19:25 pm CET","3","More serious","5","Not willing at all","Creating new walking and cycling routes in the city away from cars","","","","1"
"2024/09/25 9:27:42 pm CET","4","As serious","3","Somewhat willing","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/25 9:35:54 pm CET","3","More serious","5","Somewhat willing","Creating new walking and cycling routes in the city away from cars","","","","1"
"2024/09/25 9:47:22 pm CET","4","As serious","3","Somewhat willing","Reducing the speed limit in Waterford","","","","2"
"2024/09/25 9:55:12 pm CET","3","As serious","2","A little willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","2"
"2024/09/25 11:04:40 pm CET","3","Less serious","4","A little willing","Creating new walking and cycling routes in the city away from cars","","","","1"
"2024/09/26 7:44:37 am CET","3","As serious","4","Somewhat willing","Creating new walking and cycling routes in the city away from cars","","","","3"
"2024/09/26 8:53:20 am CET","3","Much less serious","1","A little willing","Creating new walking and cycling routes in the city away from cars","","","","1"
"2024/09/26 8:54:43 am CET","3","More serious","4","Somewhat willing","Creating new walking and cycling routes in the city away from cars","","","","4"
"2024/09/26 9:11:07 am CET","2","As serious","4","A little willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","5"
"2024/09/26 9:11:59 am CET","3","Don't know","2","A little willing","Creating new walking and cycling routes in the city away from cars","","","","5"
"2024/09/26 9:12:10 am CET","2","Don't know","2","A little willing","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/26 9:12:23 am CET","3","As serious","5","A little willing","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/26 9:28:03 am CET","4","As serious","2","","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/26 9:31:38 am CET","2","As serious","2","A little willing","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/26 9:58:45 am CET","3","Less serious","2","Not willing at all","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/26 10:04:51 am CET","3","Less serious","3","A little willing","Restricting where most cars can go","","","","2"
"2024/09/26 10:29:03 am CET","2","Much more serious","4","Somewhat willing","Creating new walking and cycling routes in the city away from cars","","","","4"
"2024/09/26 10:29:33 am CET","3","As serious","4","Very willing","Restricting where most cars can go","","","","5"
"2024/09/26 10:29:54 am CET","4","More serious","4","Somewhat willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","3"
"2024/09/26 10:30:08 am CET","3","As serious","4","Somewhat willing","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/26 10:30:09 am CET","2","Much more serious","4","Somewhat willing","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/26 10:30:20 am CET","4","As serious","4","Somewhat willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","2"
"2024/09/26 10:30:39 am CET","3","As serious","4","Somewhat willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","4"
"2024/09/26 10:30:40 am CET","4","As serious","4","A little willing","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/26 10:30:52 am CET","1","Less serious","2","Not willing at all","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/26 10:30:52 am CET","3","More serious","3","Somewhat willing","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/26 10:31:05 am CET","3","As serious","3","Somewhat willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","3"
"2024/09/26 10:31:24 am CET","3","Much more serious","2","Very willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","4"
"2024/09/26 10:31:27 am CET","3","As serious","4","Somewhat willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","4"
"2024/09/26 10:31:31 am CET","3","More serious","3","Somewhat willing","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/26 10:31:41 am CET","4","More serious","3","Somewhat willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","4"
"2024/09/26 10:31:43 am CET","2","Much more serious","5","Somewhat willing","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/26 10:31:43 am CET","3","As serious","4","Somewhat willing","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/26 10:32:06 am CET","4","As serious","5","Somewhat willing","Creating new walking and cycling routes in the city away from cars","","","","3"
"2024/09/26 10:32:28 am CET","3","More serious","4","Somewhat willing","Creating new walking and cycling routes in the city away from cars","","","","3"
"2024/09/26 10:32:35 am CET","3","As serious","4","Somewhat willing","Restricting where most cars can go","","","","3"
"2024/09/26 10:32:41 am CET","2","Much more serious","5","Somewhat willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","1"
"2024/09/26 10:32:52 am CET","2","More serious","3","Very willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","2"
"2024/09/26 10:33:49 am CET","4","As serious","2","Somewhat willing","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/26 12:07:19 pm CET","4","Much more serious","4","Very willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","3"
"2024/09/26 12:09:11 pm CET","3","More serious","4","Somewhat willing","Creating new walking and cycling routes in the city away from cars","","","","1"
"2024/09/26 12:09:32 pm CET","3","More serious","4","Somewhat willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","3"
"2024/09/26 12:09:47 pm CET","3","Less serious","3","Somewhat willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","2"
"2024/09/26 12:09:53 pm CET","3","As serious","4","Somewhat willing","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/26 12:10:00 pm CET","3","More serious","3","Somewhat willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","2"
"2024/09/26 12:10:04 pm CET","3","More serious","3","Somewhat willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","1"
"2024/09/26 12:20:53 pm CET","2","As serious","3","A little willing","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/26 12:20:53 pm CET","4","Much more serious","5","Very willing","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/26 12:21:17 pm CET","4","More serious","4","Somewhat willing","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/26 12:22:44 pm CET","3","As serious","5","Somewhat willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","4"
"2024/09/26 12:22:46 pm CET","1","Less serious","4","Somewhat willing","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/26 12:22:54 pm CET","4","As serious","2","Somewhat willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","3"
"2024/09/26 12:23:46 pm CET","3","More serious","4","Somewhat willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","2"
"2024/09/26 12:23:50 pm CET","3","More serious","5","Somewhat willing","Reducing the speed limit in Waterford","","","","3"
"2024/09/26 12:24:19 pm CET","4","As serious","4","Extremely willing","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/26 12:25:05 pm CET","3","Much more serious","4","A little willing","Creating new walking and cycling routes in the city away from cars","","","","3"
"2024/09/26 12:27:01 pm CET","3","Less serious","4","Not willing at all","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","1"
"2024/09/26 12:28:00 pm CET","4","More serious","5","Somewhat willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","2"
"2024/09/26 12:37:38 pm CET","2","As serious","4","Somewhat willing","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/26 12:37:38 pm CET","3","Less serious","3","","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","2"
"2024/09/26 12:38:05 pm CET","3","As serious","4","A little willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","2"
"2024/09/26 12:38:15 pm CET","5","Much less serious","3","Not willing at all","Creating new walking and cycling routes in the city away from cars","","","","1"
"2024/09/26 12:38:27 pm CET","3","As serious","4","A little willing","Creating new walking and cycling routes in the city away from cars","","","","1"
"2024/09/26 12:38:44 pm CET","2","Much less serious","3","A little willing","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/26 12:39:10 pm CET","3","Less serious","3","Not willing at all","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","2"
"2024/09/26 12:39:20 pm CET","3","Less serious","3","A little willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","2"
"2024/09/26 12:39:24 pm CET","3","As serious","5","A little willing","Creating new walking and cycling routes in the city away from cars","","","","1"
"2024/09/26 12:39:29 pm CET","3","As serious","4","A little willing","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/26 12:39:32 pm CET","4","As serious","4","A little willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","3"
"2024/09/26 12:39:33 pm CET","4","Less serious","3","A little willing","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/26 12:39:46 pm CET","3","As serious","3","Not willing at all","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/26 12:40:15 pm CET","3","As serious","2","Somewhat willing","Creating new walking and cycling routes in the city away from cars","","","","5"
"2024/09/26 12:40:15 pm CET","3","As serious","3","Somewhat willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","1"
"2024/09/26 12:40:17 pm CET","5","Much more serious","4","Extremely willing","Creating new walking and cycling routes in the city away from cars","","","","5"
"2024/09/26 12:40:24 pm CET","3","As serious","3","Not willing at all","Creating new walking and cycling routes in the city away from cars","","","","1"
"2024/09/26 12:40:42 pm CET","1","Less serious","3","Somewhat willing","Creating new walking and cycling routes in the city away from cars","","","","1"
"2024/09/26 12:40:57 pm CET","3","More serious","4","Somewhat willing","Creating new walking and cycling routes in the city away from cars","","","","3"
"2024/09/26 12:48:51 pm CET","3","Much more serious","5","Not willing at all","Creating new walking and cycling routes in the city away from cars","","","","1"
"2024/09/26 12:48:57 pm CET","4","More serious","5","Somewhat willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","2"
"2024/09/26 12:49:00 pm CET","2","As serious","4","Somewhat willing","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/26 12:49:28 pm CET","4","Much more serious","5","Somewhat willing","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/26 12:49:28 pm CET","2","Much more serious","4","Somewhat willing","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/26 12:49:37 pm CET","4","","4","A little willing","Creating new walking and cycling routes in the city away from cars","","","","1"
"2024/09/26 12:49:46 pm CET","5","As serious","4","Somewhat willing","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/26 12:49:46 pm CET","3","Less serious","4","Somewhat willing","Creating new walking and cycling routes in the city away from cars","","","","3"
"2024/09/26 12:50:02 pm CET","3","Less serious","2","Very willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","5"
"2024/09/26 12:50:28 pm CET","4","Much more serious","4","Not willing at all","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","2"
"2024/09/26 12:50:29 pm CET","3","Don't know","4","A little willing","Reducing the speed limit in Waterford","","","","1"
"2024/09/26 12:51:15 pm CET","3","Less serious","2","A little willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","1"
"2024/09/26 12:51:27 pm CET","3","More serious","4","Somewhat willing","Creating new walking and cycling routes in the city away from cars","","","","1"
"2024/09/26 12:51:28 pm CET","2","As serious","4","A little willing","Restricting where most cars can go","","","","1"
"2024/09/26 12:51:39 pm CET","3","More serious","4","Somewhat willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","4"
"2024/09/26 12:53:02 pm CET","2","Less serious","3","A little willing","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/26 1:00:26 pm CET","3","As serious","3","Somewhat willing","Reducing the speed limit in Waterford","","","","2"
"2024/09/26 1:00:29 pm CET","3","As serious","2","Somewhat willing","Reducing the speed limit in Waterford","","","","3"
"2024/09/26 1:00:32 pm CET","3","Much more serious","5","Somewhat willing","Reducing the speed limit in Waterford","","","","3"
"2024/09/26 1:01:09 pm CET","4","More serious","5","Somewhat willing","Creating new walking and cycling routes in the city away from cars","","","","3"
"2024/09/26 1:01:11 pm CET","4","Much more serious","5","Somewhat willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","2"
"2024/09/26 1:01:15 pm CET","5","Much less serious","2","Not willing at all","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","1"
"2024/09/26 1:01:20 pm CET","4","More serious","5","Somewhat willing","Creating new walking and cycling routes in the city away from cars","","","","4"
"2024/09/26 1:01:31 pm CET","3","As serious","4","A little willing","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/26 1:01:47 pm CET","3","Less serious","4","Very willing","Creating new walking and cycling routes in the city away from cars","","","","1"
"2024/09/26 1:02:14 pm CET","4","As serious","3","Somewhat willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","3"
"2024/09/26 1:02:16 pm CET","3","Less serious","4","Not willing at all","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","2"
"2024/09/26 1:02:19 pm CET","4","As serious","3","Somewhat willing","Reducing the speed limit in Waterford","","","","2"
"2024/09/26 1:02:23 pm CET","3","As serious","4","A little willing","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/26 1:02:38 pm CET","2","Less serious","3","Somewhat willing","Creating new walking and cycling routes in the city away from cars","","","","1"
"2024/09/26 1:02:44 pm CET","4","As serious","5","Extremely willing","Creating new walking and cycling routes in the city away from cars","","","","4"
"2024/09/26 1:03:02 pm CET","5","More serious","5","Very willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","3"
"2024/09/26 1:03:05 pm CET","5","Much less serious","5","Extremely willing","Restricting where most cars can go","","","","5"
"2024/09/26 1:03:19 pm CET","3","As serious","4","A little willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","1"
"2024/09/26 1:04:15 pm CET","3","More serious","4","Somewhat willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","3"
"2024/09/26 1:56:00 pm CET","5","Much less serious","1","Not willing at all","Creating new walking and cycling routes in the city away from cars","","","","3"
"2024/09/26 3:31:44 pm CET","3","As serious","3","Somewhat willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","3"
"2024/09/26 4:13:03 pm CET","3","Less serious","3","Somewhat willing","Creating new walking and cycling routes in the city away from cars","","","","1"
"2024/09/26 4:14:09 pm CET","3","More serious","5","Somewhat willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","3"
"2024/09/26 4:16:12 pm CET","4","More serious","5","Somewhat willing","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/26 4:27:04 pm CET","4","Much more serious","5","Very willing","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/26 4:46:50 pm CET","3","Less serious","3","A little willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","2"
"2024/09/26 5:05:55 pm CET","3","As serious","4","A little willing","Creating new walking and cycling routes in the city away from cars","","","","3"
"2024/09/26 5:13:39 pm CET","4","Much more serious","5","Very willing","Creating new walking and cycling routes in the city away from cars","","","","5"
"2024/09/26 6:22:14 pm CET","3","As serious","5","Very willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","5"
"2024/09/26 6:34:28 pm CET","3","As serious","4","Not willing at all","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","1"
"2024/09/26 7:51:26 pm CET","3","Less serious","3","A little willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","1"
"2024/09/26 8:08:14 pm CET","3","More serious","5","Very willing","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/26 8:43:10 pm CET","5","As serious","4","Very willing","Creating new walking and cycling routes in the city away from cars","","","","5"
"2024/09/26 9:10:58 pm CET","2","Don't know","2","Not willing at all","Reducing the speed limit in Waterford","","","","1"
"2024/09/26 9:19:01 pm CET","3","As serious","5","Very willing","Creating new walking and cycling routes in the city away from cars","","","","4"
"2024/09/26 10:44:47 pm CET","3","More serious","4","A little willing","Creating new walking and cycling routes in the city away from cars","","","","2"
"2024/09/26 11:23:15 pm CET","4","As serious","5","Somewhat willing","Giving people help to replace open fires in homes with electric heating or heat pumps","","","","2"
"2024/09/27 9:20:57 am CET","4","Much more serious","5","Somewhat willing","3","4","5","2","3"
"2024/09/27 9:25:01 am CET","3","As serious","3","Somewhat willing","2","3","4","2","2"
"2024/09/27 11:28:28 am CET","3","Much more serious","4","Very willing","3","5","4","4","3"
"2024/09/27 11:29:26 am CET","4","More serious","5","Somewhat willing","4","5","5","3","3"
"2024/09/27 11:29:39 am CET","3","More serious","5","Somewhat willing","3","5","5","3","3"
"2024/09/27 11:29:43 am CET","2","As serious","3","Somewhat willing","2","4","3","2","2"
"2024/09/27 11:29:44 am CET","2","Less serious","3","A little willing","2","3","3","1","3"
"2024/09/27 11:30:02 am CET","2","As serious","2","A little willing","2","3","5","3","2"
"2024/09/27 11:30:06 am CET","2","More serious","5","Somewhat willing","2","4","5","2","2"
"2024/09/27 11:30:26 am CET","4","As serious","3","Somewhat willing","5","3","5","5","2"
"2024/09/27 11:30:53 am CET","4","Much more serious","5","Very willing","3","4","5","4","4"
"2024/09/27 11:30:56 am CET","3","Less serious","4","A little willing","3","2","5","1","1"
"2024/09/27 11:31:26 am CET","3","As serious","4","A little willing","3","5","5","3","2"
"2024/09/27 11:31:31 am CET","2","More serious","4","Somewhat willing","4","4","3","1","3"
